YYYYMMDD,MKT_RF,SMB,HML,RF,CNSMR,MANUF,HITEC,HEALTH,OTHER
20170103,0.83,-0.13,0.1,0.002,0.46,0.81,0.99,1.3,0.8
20170104,0.79,0.95,-0.16,0.002,0.8,0.51,0.61,1.05,1.06
20170105,-0.21,-0.87,-0.8,0.002,-0.23,-0.26,0.09,0.41,-0.71
20170106,0.29,-0.63,-0.31,0.002,0.06,0.11,0.61,0.3,0.31
20170109,-0.37,-0.28,-1.03,0.002,-0.28,-1.08,0.05,0.78,-0.74
20170110,0.16,0.98,0.55,0.002,0.17,-0.23,0.13,0.32,0.47
20170111,0.31,-0.31,0.54,0.002,0.11,0.82,0.49,-1.32,0.47
20170112,-0.3,-0.57,-0.85,0.002,0.01,-0.35,-0.29,0.07,-0.6
20170113,0.29,0.63,-0.1,0.002,0.05,0.08,0.4,0.29,0.48
20170117,-0.49,-0.85,-0.6,0.002,0.59,0.16,-0.41,-0.75,-1.66
20170118,0.24,0.18,0.21,0.002,0.05,0.1,0.25,0.13,0.56
20170119,-0.38,-0.49,-0.03,0.002,-0.53,-0.49,-0.15,-0.87,-0.22
20170120,0.33,0.05,0.2,0.002,0.15,0.6,0.5,-0.35,0.37
20170123,-0.29,-0.05,-0.32,0.002,-0.06,-0.52,0.06,-0.55,-0.52
20170124,0.83,0.69,0.77,0.002,0.81,1.2,0.65,-0.63,1.28
20170125,0.84,0.15,0.39,0.002,0.5,0.61,0.78,0.84,1.34
20170126,-0.1,-0.62,0.39,0.002,-0.58,0.03,0.13,-0.7,0.14
20170127,-0.12,0.01,-0.67,0.002,-0.66,-0.48,0.32,0.96,-0.34
20170130,-0.68,-0.71,-0.44,0.002,-0.12,-1.08,-0.67,-0.61,-0.77
20170131,0,0.89,-0.57,0.002,0.13,0.12,-0.19,1.58,-0.59
20170201,0.04,-0.06,0.03,0.002,-0.45,-0.39,0.5,0.71,0.06
20170202,-0.02,-0.26,-0.28,0.002,0.3,0.26,-0.16,0.32,-0.39
20170203,0.82,0.54,0.68,0.002,0.21,0.68,0.6,0.76,1.62
20170206,-0.27,-0.58,-0.18,0.002,-0.36,-0.44,-0.08,0,-0.37
20170207,-0.01,-0.3,-0.51,0.002,0.25,-0.29,0.25,-0.12,-0.19
20170208,0.06,-0.24,-0.58,0.002,0.61,0.22,0.19,-0.08,-0.42
20170209,0.72,0.71,0.02,0.002,0.77,0.52,0.51,0.6,1.06
20170210,0.38,0.4,0.12,0.002,0.35,0.72,0.28,0.14,0.33
20170213,0.49,-0.32,0.34,0.002,0.05,0.48,0.38,0.65,0.9
20170214,0.45,-0.24,0.35,0.002,0.48,-0.02,0.33,0.8,0.79
20170215,0.54,0.18,-0.44,0.002,0.38,0.22,0.44,1.3,0.69
20170216,-0.16,-0.22,-0.03,0.002,-0.3,-0.29,0.12,-0.19,-0.23
20170217,0.2,0,-0.56,0.002,0.62,-0.02,0.37,0.5,-0.19
20170221,0.6,-0.03,0.12,0.002,0.88,0.8,0.5,0.22,0.53
20170222,-0.15,-0.38,0.1,0.002,-0.2,-0.43,0.11,-0.35,-0.11
20170223,-0.11,-0.66,0.26,0.002,-0.41,-0.07,-0.21,0.62,-0.12
20170224,0.15,0.05,-0.95,0.002,0.49,-0.01,0.26,0.62,-0.27
20170227,0.22,0.82,-0.34,0.002,-0.13,0.38,-0.05,0.71,0.39
20170228,-0.42,-1.38,0.17,0.002,-0.55,-0.16,-0.56,-0.3,-0.42
20170301,1.47,0.42,0.73,0.001,0.8,1.41,1.23,1.09,2.36
20170302,-0.7,-0.53,-0.9,0.001,0,-0.7,-0.65,-0.25,-1.31
20170303,0.09,-0.23,0.14,0.001,-0.22,-0.23,0.14,0.41,0.31
20170306,-0.38,-0.36,-0.08,0.001,-0.61,-0.12,-0.22,-0.54,-0.5
20170307,-0.36,-0.3,-0.06,0.001,-0.43,-0.44,-0.01,-0.81,-0.37
20170308,-0.19,-0.11,-0.84,0.001,0.15,-1.18,0.03,0.45,-0.14
20170309,0.04,-0.46,-0.26,0.001,-0.11,-0.06,0.03,0.66,0
