"Id","Type","Zone","LotArea","LotConfig","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtRating","BsmtSF","CentralAir","X1stFlrSF","X2ndFlrSF","LowQualSF","LivAreaSF","FullBath","HalfBath","Bedrooms","Kitchen","KitchenQual","TotRms","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PoolArea","MoSold","YrSold","SaleCondition","SalePrice"
925,20,"RL",10240,"Inside","1Fam","1Story",6,6,1980,1980,"Gable","TA","Gd","CBlock","Gd","TA","No","BLQ",625,"Y",1686,0,0,1686,2,0,3,1,"TA",7,"Typ",1,"TA","Attchd",1980,"Unf",2,612,"TA","TA",0,5,2006,"Normal",207500
1089,160,"RM",2522,"Inside","Twnhs","2Story",7,5,2004,2004,"Gable","Gd","TA","PConc","Gd","TA","No","Unf",0,"Y",970,739,0,1709,2,0,3,1,"Gd",7,"Maj",0,NA,"Detchd",2004,"Unf",2,380,"TA","TA",0,4,2006,"Normal",137500
522,20,"RL",11988,"Corner","1Fam","1Story",6,6,1957,1957,"Gable","TA","TA","CBlock","TA","TA","No","LwQ",777,"Y",1244,0,0,1244,1,1,3,1,"TA",6,"Typ",2,"Gd","Attchd",1957,"Unf",1,336,"TA","TA",0,5,2007,"Normal",150000
1299,60,"RL",63887,"Corner","1Fam","2Story",10,5,2008,2008,"Hip","Ex","TA","PConc","Ex","TA","Gd","GLQ",5644,"Y",4692,950,0,5642,2,1,3,1,"Ex",12,"Typ",3,"Gd","Attchd",2008,"Fin",2,1418,"TA","TA",480,1,2008,"Abnorml",160000
1437,20,"RL",9000,"FR2","1Fam","1Story",4,6,1971,1971,"Gable","TA","TA","PConc","TA","TA","No","ALQ",616,"Y",864,0,0,864,1,0,3,1,"TA",5,"Typ",0,NA,"Detchd",1974,"Unf",2,528,"TA","TA",0,5,2007,"Normal",120500
136,20,"RL",10400,"Inside","1Fam","1Story",7,6,1970,1970,"Hip","TA","TA","PConc","TA","TA","No","Unf",0,"Y",1682,0,0,1682,2,0,3,1,"TA",7,"Typ",1,"Gd","Attchd",1970,"Unf",2,530,"TA","TA",0,5,2008,"Normal",174000
1460,20,"RL",9937,"Inside","1Fam","1Story",5,6,1965,1965,"Gable","Gd","TA","CBlock","TA","TA","No","BLQ",830,"Y",1256,0,0,1256,1,1,3,1,"TA",6,"Typ",0,NA,"Attchd",1965,"Fin",1,276,"TA","TA",0,6,2008,"Normal",147500
1458,70,"RL",9042,"Inside","1Fam","2Story",7,9,1941,2006,"Gable","Ex","Gd","BrkTil","TA","Gd","No","GLQ",275,"Y",1188,1152,0,2340,2,0,4,1,"Gd",9,"Typ",2,"Gd","Attchd",1941,"RFn",1,252,"TA","TA",0,5,2010,"Normal",266500
960,160,"FV",2572,"FR2","Twnhs","2Story",7,5,1999,1999,"Hip","Gd","TA","PConc","Gd","TA","No","ALQ",604,"Y",696,720,0,1416,2,1,3,1,"Gd",6,"Typ",0,NA,"Detchd",1999,"Unf",2,484,"TA","TA",0,5,2010,"Normal",155000
681,120,"RL",8012,"Inside","TwnhsE","1Story",6,5,1980,1980,"Gable","TA","TA","CBlock","Gd","TA","No","BLQ",543,"Y",923,0,0,923,2,0,2,1,"TA",5,"Typ",1,"TA","Attchd",1980,"RFn",1,264,"TA","TA",0,5,2010,"Normal",143000
404,60,"RL",12090,"Corner","1Fam","2Story",8,5,1998,1998,"Hip","Gd","TA","PConc","Gd","TA","No","Unf",0,"Y",1165,1098,0,2263,2,1,4,1,"Gd",10,"Typ",1,"TA","Other",1998,"Fin",2,420,"TA","TA",0,7,2006,"Abnorml",258000
587,30,"RL",10267,"Inside","1Fam","1Story",6,7,1918,2000,"Gable","TA","Gd","BrkTil","TA","Gd","Mn","LwQ",210,"Y",838,0,0,838,1,0,2,1,"Fa",5,"Typ",0,NA,"Detchd",1961,"Fin",1,275,"TA","TA",0,5,2008,"Normal",130000
1270,50,"RL",11344,"Inside","1Fam","1.5Sto",5,5,1958,1958,"Gable","TA","TA","CBlock","TA","TA","No","BLQ",460,"Y",874,650,0,1524,1,1,3,1,"TA",7,"Typ",0,NA,"Attchd",1958,"Unf",1,315,"TA","TA",0,7,2007,"Normal",144000
1123,20,"RL",8926,"Corner","1Fam","1Story",4,3,1956,1956,"Gable","TA","TA","CBlock","TA","TA","No","Unf",0,"Y",960,0,0,960,1,0,3,1,"TA",5,"Typ",0,NA,"Other",1956,"Unf",1,288,"TA","TA",0,10,2009,"Abnorml",112000
894,20,"RL",13284,"Inside","1Fam","1Story",5,5,1954,1954,"Gable","TA","TA","PConc","Gd","TA","Mn","BLQ",1064,"Y",1383,0,0,1383,1,0,3,1,"TA",6,"Typ",1,"Gd","Attchd",1954,"Unf",1,354,"TA","TA",0,6,2008,"Normal",165000
498,50,"RL",9120,"Inside","1Fam","1.5Sto",7,6,1925,1950,"Gable","TA","Gd","PConc","TA","TA","No","LwQ",329,"Y",1133,687,0,1820,2,0,4,1,"TA",8,"Typ",0,NA,"Detchd",1925,"Unf",1,240,"TA","TA",0,6,2008,"Normal",184000
793,60,"RL",9920,"CulDSac","1Fam","2Story",7,5,1996,1997,"Gable","Gd","TA","PConc","Gd","TA","Av","GLQ",862,"Y",1127,886,0,2013,2,1,3,1,"TA",8,"Typ",1,"TA","Attchd",1997,"Unf",2,455,"TA","TA",0,6,2007,"Normal",269790
336,190,"RL",164660,"Corner","Duplex","1.5Sto",5,6,1965,1965,"Gable","TA","TA","CBlock","TA","TA","Gd","ALQ",1249,"Y",1619,167,0,1786,2,0,3,1,"TA",7,"Typ",2,"Gd","Attchd",1965,"Fin",2,529,"TA","TA",0,8,2008,"Normal",228950
512,120,"RL",6792,"Inside","TwnhsE","1Story",7,5,2005,2006,"Gable","Gd","TA","PConc","Gd","TA","No","Unf",0,"Y",1368,0,0,1368,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd",2005,"RFn",2,474,"TA","TA",0,3,2006,"Abnorml",202665
1250,20,"RL",7200,"Inside","1Fam","1Story",5,7,1950,1950,"Gable","TA","TA","CBlock","TA","TA","No","BLQ",534,"Y",988,0,0,988,1,0,3,1,"TA",6,"Typ",0,NA,"Attchd",1950,"Unf",1,276,"TA","TA",0,5,2007,"Normal",119000
753,20,"RL",9236,"Inside","1Fam","1Story",6,5,1997,1997,"Gable","TA","Gd","PConc","Gd","TA","Gd","GLQ",1200,"Y",1494,0,0,1494,2,0,3,1,"Gd",6,"Typ",0,NA,"Attchd",1997,"RFn",2,576,"TA","TA",0,7,2006,"Normal",217000
459,70,"RM",5100,"Inside","1Fam","2Story",8,7,1925,1996,"Hip","TA","Gd","PConc","TA","TA","No","Unf",0,"Y",833,833,0,1666,1,0,3,1,"Gd",7,"Typ",1,"Gd","Detchd",1925,"Unf",1,228,"TA","TA",0,6,2008,"Normal",161000
266,20,"RL",12090,"Inside","1Fam","1Story",6,6,1981,1981,"Gable","TA","Gd","CBlock","Gd","TA","No","GLQ",588,"Y",1422,0,0,1422,2,0,3,1,"Gd",7,"Typ",1,"TA","Attchd",1981,"Fin",2,576,"TA","TA",0,6,2008,"Normal",175500
642,60,"FV",7050,"Inside","1Fam","2Story",7,5,2001,2001,"Gable","Gd","TA","PConc","Gd","TA","No","GLQ",738,"Y",1057,872,0,1929,2,1,3,1,"Gd",7,"Typ",1,"TA","Attchd",2001,"Fin",2,650,"TA","TA",0,5,2007,"Normal",226000
590,40,"RM",9100,"Inside","1Fam","1Story",5,6,1930,1960,"Gable","TA","TA","BrkTil","TA","TA","No","Unf",0,"Y",779,0,156,935,1,0,2,1,"TA",4,"Typ",0,NA,"Detchd",1988,"Unf",1,308,"TA","TA",0,8,2008,"Normal",79500
835,20,"RL",7875,"Inside","1Fam","1Story",5,6,1961,1961,"Gable","TA","TA","CBlock","TA","TA","No","LwQ",572,"Y",1144,0,0,1144,1,0,3,1,"TA",6,"Typ",0,NA,"Attchd",1961,"Unf",2,456,"TA","TA",0,9,2008,"Normal",139950
